City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,cusseta,32.3054,-84.7727,18.59,87,36,1.88,US,2024-04-25
79,zhob,31.3411,69.4481,22.0,26,13,0.44,PK,2024-04-25
80,port de pollenca,39.9075,3.0814,11.36,58,100,1.18,ES,2024-04-25
81,kodiak,57.79,-152.4072,4.73,87,100,4.63,US,2024-04-25
82,fort bragg,35.139,-79.006,17.91,75,40,0.0,US,2024-04-25
83,luderitz,-26.6481,15.1594,16.46,67,69,5.9,,2024-04-25
84,hamilton,39.1834,-84.5333,7.69,75,0,6.17,US,2024-04-25
85,sittwe,20.15,92.9,30.4,69,1,2.24,MM,2024-04-25
86,college,64.8569,-147.8028,16.18,33,75,2.06,US,2024-04-25
87,punta arenas,-53.15,-70.9167,5.06,87,75,1.54,CL,2024-04-25
88,meulaboh,4.1363,96.1285,29.2,74,100,0.56,ID,2024-04-25
89,karratha,-20.7377,116.8463,31.14,27,33,7.76,AU,2024-04-25
90,carrizo springs,28.5219,-99.8606,28.34,65,40,7.2,US,2024-04-25
91,wailua homesteads,22.0669,-159.378,27.24,83,100,8.23,US,2024-04-25
92,dhuusamarreeb,5.535,46.3861,27.42,78,99,4.41,SO,2024-04-25
93,argo,37.6333,22.7333,14.33,49,99,2.07,GR,2024-04-25
94,muroto-misakicho,33.2833,134.15,19.06,77,74,4.45,JP,2024-04-25
95,anadyr,64.75,177.4833,-2.72,92,100,6.0,RU,2024-04-25
96,igarka,67.4667,86.5833,-7.21,90,79,3.58,RU,2024-04-25
97,namdrik,5.5994,168.1028,27.54,82,94,6.81,MH,2024-04-25
98,susuman,62.7833,148.1667,-1.68,90,91,1.34,RU,2024-04-25
99,aasiaat,68.7098,-52.8699,-3.5,98,90,2.92,GL,2024-04-25
100,vorgashor,67.5833,63.95,-11.38,87,95,1.54,RU,2024-04-25
101,monze,-16.2833,27.4833,16.0,51,0,1.4,ZM,2024-04-25
102,dniprorudne,47.3817,34.9765,13.24,83,100,1.21,UA,2024-04-25
103,nova sintra,14.8667,-24.7167,22.95,80,88,6.46,CV,2024-04-25
104,kwang binh,17.4833,106.6,35.32,48,10,2.02,VN,2024-04-25
105,acarau,-2.8856,-40.12,25.93,86,73,3.82,BR,2024-04-25
106,weno,7.4515,151.8468,30.97,74,100,3.6,FM,2024-04-25
107,qaqortoq,60.7167,-46.0333,-0.58,85,55,2.71,GL,2024-04-25
108,invercargill,-46.4,168.35,15.57,54,1,3.58,NZ,2024-04-25
109,olonkinbyen,70.9221,-8.7187,-1.6,82,8,3.52,SJ,2024-04-25
110,new norfolk,-42.7826,147.0587,14.72,69,99,3.39,AU,2024-04-25
111,homer,59.6425,-151.5483,8.94,62,40,2.57,US,2024-04-25
112,san fernando,15.0286,120.6898,33.85,45,74,2.19,PH,2024-04-25
113,puerto ayora,-0.7393,-90.3518,25.31,95,6,2.35,EC,2024-04-25
114,lata,40.1629,-8.3327,11.71,88,97,1.17,PT,2024-04-25
115,antofagasta,-23.65,-70.4,17.6,86,96,3.23,CL,2024-04-25
116,poyang,28.9924,116.6675,23.37,78,100,2.72,CN,2024-04-25
117,maintirano,-18.0667,44.0167,24.15,90,12,3.75,MG,2024-04-25
118,rikaze,29.25,88.8833,8.64,21,0,1.81,CN,2024-04-25
119,itoman,26.1247,127.6694,25.01,81,75,4.12,JP,2024-04-25
120,mezhdurechenskiy,59.6,65.9333,-0.26,58,97,4.29,RU,2024-04-25
121,wotje,9.4543,170.2367,27.87,78,94,8.47,MH,2024-04-25
122,udachny,66.4167,112.4,-5.95,80,100,8.3,RU,2024-04-25
123,cova figueira,14.8905,-24.2934,17.81,76,58,1.93,CV,2024-04-25
124,leer,53.2316,7.461,4.44,94,100,3.95,DE,2024-04-25
125,sijunjung,-0.6876,100.9537,31.22,62,89,0.67,ID,2024-04-25
126,jaguarao,-32.5661,-53.3758,12.98,80,79,1.18,BR,2024-04-25
127,illizi,26.4833,8.4667,18.89,25,0,1.68,DZ,2024-04-25
128,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,35,75,7.0,RU,2024-04-25
129,yemetsk,63.4721,41.7941,-0.82,92,100,0.88,RU,2024-04-25
130,aykhal,66.0,111.5,-7.34,87,100,10.07,RU,2024-04-25
131,filipstad,59.7124,14.1683,-0.98,96,70,1.12,SE,2024-04-25
132,badger,64.8,-147.5333,16.14,31,40,2.06,US,2024-04-25
133,hadibu,12.65,54.0333,27.62,75,55,2.05,YE,2024-04-25
134,bilibino,68.0546,166.4372,-6.78,72,15,0.92,RU,2024-04-25
135,uturoa,-16.7333,-151.4333,28.34,72,0,2.21,PF,2024-04-25
136,varberg,57.1056,12.2508,1.14,75,100,3.04,SE,2024-04-25
137,pangai,-19.8,-174.35,30.06,79,40,4.12,TO,2024-04-25
138,bredasdorp,-34.5322,20.0403,15.28,83,78,1.18,ZA,2024-04-25
139,punta del este,-34.9667,-54.95,14.37,79,75,1.03,UY,2024-04-25
140,carutapera,-1.195,-46.02,25.36,91,97,1.94,BR,2024-04-25
141,tura,25.5198,90.2201,33.48,27,0,3.83,IN,2024-04-25
142,ajdabiya,30.7554,20.2263,17.25,46,97,1.63,LY,2024-04-25
143,malvan,16.0667,73.4667,28.68,69,90,0.38,IN,2024-04-25
144,tsengel,49.4783,100.8894,0.4,50,100,5.75,MN,2024-04-25
145,chibougamau,49.9168,-74.3659,-9.21,67,0,3.09,CA,2024-04-25
146,ixtapa,20.7,-105.2,24.57,88,0,1.54,MX,2024-04-25
147,coacoatzintla,19.6333,-96.9333,18.26,92,35,1.62,MX,2024-04-25
148,nadi,-17.8,177.4167,31.0,66,20,4.63,FJ,2024-04-25
149,montereau-fault-yonne,48.3833,2.95,4.25,88,0,1.28,FR,2024-04-25
150,puerto ayacucho,5.6639,-67.6236,24.49,92,100,1.81,VE,2024-04-25
151,stanley,54.868,-1.6985,4.01,88,0,5.66,GB,2024-04-25
152,talnakh,69.4865,88.3972,-7.66,91,91,2.3,RU,2024-04-25
153,harnai,30.1005,67.9374,26.04,20,70,0.68,PK,2024-04-25
154,vadso,70.0744,29.7487,1.49,86,100,4.12,NO,2024-04-25
155,pimentel,-6.8367,-79.9342,21.16,78,75,4.12,PE,2024-04-25
156,tenenkou,14.4572,-4.9169,33.24,13,98,5.02,ML,2024-04-25
157,chita,52.0333,113.55,4.94,33,40,8.0,RU,2024-04-25
158,nar'yan-mar,67.6713,53.087,-6.61,82,10,5.81,RU,2024-04-25
159,the pas,53.8251,-101.2541,13.01,35,0,4.63,CA,2024-04-25
160,al hawatah,13.4167,34.6333,29.55,13,8,2.06,SD,2024-04-25
161,okha,53.5739,142.9478,11.81,63,24,6.71,RU,2024-04-25
162,nouadhibou,20.931,-17.0347,18.64,86,39,6.45,MR,2024-04-25
163,viqueque,-8.8673,126.3658,30.48,64,57,3.57,TL,2024-04-25
164,dibba al-hisn,25.6196,56.2729,18.1,46,0,1.33,AE,2024-04-25
165,port mathurin,-19.6833,63.4167,26.59,69,100,7.73,MU,2024-04-25
166,haimen,23.1935,116.6142,19.94,92,100,4.49,CN,2024-04-25
167,quellon,-43.1167,-73.6167,10.66,85,61,7.03,CL,2024-04-25
168,taroa,8.7058,171.2275,28.05,77,79,8.77,MH,2024-04-25
169,puerto san jose,13.9256,-90.8244,29.33,73,12,2.34,GT,2024-04-25
170,bhimunipatnam,17.8833,83.4333,30.73,58,5,3.9,IN,2024-04-25
171,east london,-33.0153,27.9116,20.13,75,78,4.85,ZA,2024-04-25
172,haiku-pauwela,20.9219,-156.3051,25.12,78,40,10.8,US,2024-04-25
173,budva,42.2864,18.84,9.42,96,100,0.51,ME,2024-04-25
174,bereznik,62.8551,42.7072,-1.03,92,30,0.41,RU,2024-04-25
175,hermanus,-34.4187,19.2345,13.22,85,75,1.7,ZA,2024-04-25
176,juneau,58.3019,-134.4197,11.0,84,40,6.69,US,2024-04-25
177,ust'-ilimsk,58.0006,102.6619,0.24,92,100,3.58,RU,2024-04-25
178,ilulissat,69.2167,-51.1,0.01,100,100,3.09,GL,2024-04-25
179,alice springs,-23.7,133.8833,19.75,30,0,6.17,AU,2024-04-25
180,mermoz boabab,14.7065,-17.4758,21.31,85,87,6.84,SN,2024-04-25
181,shiogama,38.3167,141.0333,21.99,45,2,9.51,JP,2024-04-25
182,saint stephens,35.7646,-81.2731,14.66,84,19,2.06,US,2024-04-25
183,ar rutbah,33.0381,40.2848,20.55,27,0,0.45,IQ,2024-04-25
184,kisanga,-7.4362,37.7034,22.39,97,99,1.15,TZ,2024-04-25
185,berezovyy,51.6667,135.7,18.79,37,22,2.77,RU,2024-04-25
186,mana,5.6592,-53.7767,26.56,75,96,4.16,GF,2024-04-25
187,demba,-5.51,22.2667,20.73,99,100,0.87,CD,2024-04-25
188,revda,56.801,59.9303,0.07,93,100,3.81,RU,2024-04-25
189,arteche,12.2645,125.4048,30.59,58,96,3.83,PH,2024-04-25
190,afaahiti,-17.75,-149.2833,28.93,72,1,1.79,PF,2024-04-25
191,adelia maria,-33.6315,-64.021,14.24,62,71,0.89,AR,2024-04-25
192,montrose,38.4166,-108.2673,15.76,20,0,5.74,US,2024-04-25
193,taroudant,30.4703,-8.877,14.16,83,0,0.85,MA,2024-04-25
194,hithadhoo,-0.6,73.0833,29.34,70,100,2.67,MV,2024-04-25
195,tralee,52.2704,-9.7026,8.47,88,95,1.97,IE,2024-04-25
196,yorkton,51.2167,-102.4677,15.91,25,20,4.12,CA,2024-04-25
197,buka,40.8108,69.1986,21.53,42,66,2.18,UZ,2024-04-25
198,bashtanka,47.4072,32.4387,11.17,90,85,1.51,UA,2024-04-25
199,podporozh'ye,60.9112,34.1706,0.86,85,99,3.53,RU,2024-04-25
200,tres lagoas,-20.7511,-51.6783,22.54,67,42,1.8,BR,2024-04-25
201,timbuktu,16.7735,-3.0074,31.46,15,0,5.18,ML,2024-04-25
202,dok kham tai,19.1624,99.9934,38.15,27,0,1.07,TH,2024-04-25
203,mosjoen,65.836,13.1908,1.29,93,40,0.0,NO,2024-04-25
204,kupang,-10.1667,123.5833,34.32,66,20,6.69,ID,2024-04-25
205,remire-montjoly,4.9167,-52.2667,26.02,94,75,1.54,GF,2024-04-25
206,sao felix do xingu,-6.6447,-51.995,22.65,98,65,0.52,BR,2024-04-25
207,bikenibeu village,1.3673,173.1241,30.98,79,75,3.6,KI,2024-04-25
208,muana,-1.5283,-49.2167,24.79,96,100,1.38,BR,2024-04-25
209,enewetak,11.3474,162.3373,27.74,80,84,7.91,MH,2024-04-25
210,lihue,21.9789,-159.3672,27.58,77,100,8.23,US,2024-04-25
211,mukalla,14.5425,49.1242,26.85,68,6,1.64,YE,2024-04-25
212,saipan,15.1355,145.701,32.39,58,40,7.72,MP,2024-04-25
213,caarapo,-22.6342,-54.8222,22.5,59,40,1.62,BR,2024-04-25
214,serowe,-22.3833,26.7167,18.06,55,0,1.0,BW,2024-04-25
215,kerikeri,-35.2268,173.9474,20.51,72,100,3.26,NZ,2024-04-25
216,saint-philippe,-21.3585,55.7679,22.77,85,36,3.14,RE,2024-04-25
217,padang,-0.9492,100.3543,29.03,70,22,1.87,ID,2024-04-25
218,ad dabbah,18.05,30.95,28.65,17,0,2.59,SD,2024-04-25
219,korla,41.7597,86.1469,22.57,20,94,4.67,CN,2024-04-25
220,cherniakhiv,50.4565,28.6702,5.83,92,57,2.34,UA,2024-04-25
